codigo;descripcion;descripcion_en;clasificacion
QU 252;Manejo de la obesidad. Bariátrica;Obesity management. Bariatrics;Bioquímica. Biología Celular y Genética
QU 260;Enfermedades metabólicas (General);Metabolic diseases (General);Bioquímica. Biología Celular y Genética
QU 260.5;Enfermedades metabólicas específicas, A-Z;Specific metabolic diseases, A-Z;Bioquímica. Biología Celular y Genética
QU 260.5.A5;Amilosis;Amyloidosis;Bioquímica. Biología Celular y Genética
QU 260.5.C2;Trastornos del metabolismo del calcio;Calcium metabolism disorders;Bioquímica. Biología Celular y Genética
QU 260.5.G6;Trastornos del metabolismo de la glucosa;Glucose metabolism disorders;Bioquímica. Biología Celular y Genética
QU 260.5.I7;Trastornos del metabolismo del hierro;Iron metabolism disorders;Bioquímica. Biología Celular y Genética
QU 260.5.L5;Trastornos del metabolismo lipídico;Lipid metabolism disorders;Bioquímica. Biología Celular y Genética
QU 260.5.M6;enfermedades mitocondriales;Mitochondrial diseases;Bioquímica. Biología Celular y Genética
QU 260.5.P4;Trastornos del metabolismo del fósforo;Phosphorus metabolism disorders;Bioquímica. Biología Celular y Genética
QU 260.5.P6;Porfirias;Porphyrias;Bioquímica. Biología Celular y Genética
QU 265;Errores innatos del metabolismo (General);Inborn errors of metabolism (General);Bioquímica. Biología Celular y Genética
QU 265.5;Errores específicos o grupos de errores no clasificados en otra parte, A-Z;Specific errors or groups of errors not elsewhere classified, A-Z;Bioquímica. Biología Celular y Genética
QU 265.5.A5;Errores congénitos del metabolismo de los aminoácidos;Amino acid metabolism inborn errors;Bioquímica. Biología Celular y Genética
QU 265.5.C3;Errores innatos del metabolismo de los carbohidratos;Carbohydrate metabolism inborn errors;Bioquímica. Biología Celular y Genética
QU 265.5.L5;Errores innatos del metabolismo lipídico;Lipid metabolism inborn errors;Bioquímica. Biología Celular y Genética
QU 265.5.L9;Enfermedades por almacenamiento lisosomal;Lysosomal storage diseases;Bioquímica. Biología Celular y Genética
QU 265.5.P4;Trastornos peroxisomales;Peroxisomal disorders;Bioquímica. Biología Celular y Genética
QU 265.5.P8;Errores congénitos del metabolismo de purina-pirimidina;Purine-pyrimidine metabolism inborn errors;Bioquímica. Biología Celular y Genética
QU 270;desequilibrio hidroelectrolítico;Water-electrolyte imbalance;Bioquímica. Biología Celular y Genética
QU 274;desequilibrio ácido-base;Acid-base imbalance;Bioquímica. Biología Celular y Genética
QU 300;Obras generales;General works;Bioquímica. Biología Celular y Genética
QU 325;Células madre;Stem cells;Bioquímica. Biología Celular y Genética
QU 328;Células madre embrionarias;Embryonic stem cells;Bioquímica. Biología Celular y Genética
QU 350;Estructuras celulares;Cellular structures;Bioquímica. Biología Celular y Genética
QU 360;Mitocondrias;Mitochondria;Bioquímica. Biología Celular y Genética
QU 375;Fisiología celular;Cell physiology;Bioquímica. Biología Celular y Genética
QU 377;Diferenciación celular;Cell differentiation;Bioquímica. Biología Celular y Genética
QU 380;Gametogénesis;Gametogenesis;Bioquímica. Biología Celular y Genética
QU 385;Espermatogénesis;Spermatogenesis;Bioquímica. Biología Celular y Genética
QU 450;Obras generales;General works;Bioquímica. Biología Celular y Genética
QU 460;Genómica;Genomics;Bioquímica. Biología Celular y Genética
QU 465;Medicina molecular;Molecular medicine;Bioquímica. Biología Celular y Genética
QU 470;Estructuras genéticas;Genetic structures;Bioquímica. Biología Celular y Genética
QU 475;Expresión génica. Regulación de la expresión génica.;Gene expression. Gene expression regulation;Bioquímica. Biología Celular y Genética
QU 476;Epigénesis genética. Epigenómica;Genetic epigenesis. Epigenomics;Bioquímica. Biología Celular y Genética
QU 477;variación genética;Genetic variation;Bioquímica. Biología Celular y Genética
QU 500;Fenómenos genéticos;Genetic phenomena;Bioquímica. Biología Celular y Genética
QU 510;Daño del ADN. Reparación del ADN.;DNA damage. DNA repair;Bioquímica. Biología Celular y Genética
QU 515;replicación del ADN;DNA replication;Bioquímica. Biología Celular y Genética
QU 520;Evolución molecular. Selección genética.;Molecular evolution. Genetic selection;Bioquímica. Biología Celular y Genética
QU 550;Técnicas genéticas (generales o no clasificadas en otra parte);Genetic techniques (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 550.5;Técnicas específicas, A-Z;Specific techniques, A-Z;Bioquímica. Biología Celular y Genética
QU 550.5.C4;Mapeo cromosómico;Chromosome mapping;Bioquímica. Biología Celular y Genética
QU 550.5.C5;Clonación;Cloning;Bioquímica. Biología Celular y Genética
QU 550.5.D6;Huella genética;DNA fingerprinting;Bioquímica. Biología Celular y Genética
QU 550.5.G4;Perfiles de expresión genética;Gene expression profiling;Bioquímica. Biología Celular y Genética
QU 550.5.G47;Ingeniería genética;Genetic engineering;Bioquímica. Biología Celular y Genética
QU 550.5.M8;Pruebas de mutagenicidad;Mutagenicity tests;Bioquímica. Biología Celular y Genética
QU 550.5.P6;reacción en cadena de la polimerasa;Polymerase chain reaction;Bioquímica. Biología Celular y Genética
QU 550.5.S4;Análisis de secuencias;Sequence analysis;Bioquímica. Biología Celular y Genética
QU 560;Terapia genética;Genetic therapy;Bioquímica. Biología Celular y Genética
QU 570;Privacidad genética;Genetic privacy;Bioquímica. Biología Celular y Genética
QV 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Farmacología
QV 4;Obras generales;General works;Farmacología
QV 5;Obras recopiladas de varios autores;Collected works by several authors;Farmacología
QV 7;Obras recopiladas de autores individuales;Collected works by individual authors;Farmacología
QV 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Farmacología
QV 11;Historia;History;Farmacología
QV 11.1;Cobertura general;General coverage;Farmacología
QV 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Farmacología
QV 15;Clasificación. Terminología;Classification. Terminology;Farmacología
QV 16;Tablas. Pesos y medidas. Estadísticas. Encuestas.;Tables. Weights and measures. Statistics. Surveys;Farmacología
QV 16.1;Cobertura general;General coverage;Farmacología
QV 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Farmacología
QV 18;Educación;Education;Farmacología
QV 18.2;Materiales educativos;Educational materials;Farmacología
QV 19;Escuelas, departamentos y facultades de farmacia;Schools, departments, and faculties of pharmacy;Farmacología
QV 19.1;Cobertura general;General coverage;Farmacología
QV 20;Educación de posgrado y continua en farmacia (incluyendo becas, pasantías, residencias, etc.);Graduate and continuing education in pharmacy (including fellowships, internships, residencies, etc.);Farmacología
QV 20.5;Investigación (General);Research (General);Farmacología
QV 21;Farmacología como profesión. Farmacia como profesión. Ética. Revisión por pares.;Pharmacology as a profession. Pharmacy as a profession. Ethics. Peer review;Farmacología
QV 21.5;Técnicos de farmacia;Pharmacy technicians;Farmacología
QV 22;Directorios;Directories;Farmacología
QV 22.1;Cobertura general;General coverage;Farmacología
QV 23;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Farmacología
QV 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Farmacología
QV 25;Manuales de laboratorio, incluidos los de análisis microscópico y químico. Técnica;Laboratory manuals, including those on microscopic and chemical analysis. Technique;Farmacología
QV 26;Equipos y suministros;Equipment and supplies;Farmacología
QV 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Farmacología
QV 27;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Farmacología
QV 28;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Farmacología
QV 29;Registro de farmacéuticos;Registration of pharmacists;Farmacología
QV 29.1;Cobertura general;General coverage;Farmacología
QV 32;Leyes;Laws;Farmacología
QV 32.1;Cobertura general;General coverage;Farmacología
[QV 32.5];[Este número no se utiliza];[This number not used];Farmacología
[QV 32.6];[Este número no se utiliza];[This number not used];Farmacología
QV 33;Discusión de derecho. Jurisprudencia;Discussion of law. Jurisprudence;Farmacología
QV 33.1;Cobertura general;General coverage;Farmacología
[QV 34];[Este número no se utiliza];[This number not used];Farmacología
QV 35;Biofarmacéutica;Biopharmaceutics;Farmacología
QV 36;Farmacología de receptores;Receptor pharmacology;Farmacología
QV 37;Fenómenos y procesos farmacológicos;Pharmacological phenomena and processes;Farmacología
QV 37.5;Interacciones medicamentosas;Drug interactions;Farmacología
QV 38;Metabolismo de fármacos. Farmacocinética;Drug metabolism. Pharmacokinetics;Farmacología
QV 38.5;Biotransformación. Farmacogenética;Biotransformation. Pharmacogenetics;Farmacología
QV 39;Manuales. Guías de recursos;Handbooks. Resource guides;Farmacología
QV 50;Farmacología dental;Dental pharmacology;Farmacología
QV 55;Preparaciones farmacéuticas (general);Pharmaceutical preparations (General);Farmacología
QV 56;Efectos adversos (generales);Adverse effects (General);Farmacología
QV 57;Medicamentos sin receta;Nonprescription drugs;Farmacología
QV 58;Sobredosis de drogas. Abuso de drogas.;Drug overdose. Drug misuse;Farmacología
QV 60;Agentes dermatológicos;Dermatologic agents;Farmacología
QV 63;Agentes protectores dermatológicos;Dermatologic protective agents;Farmacología
QV 65;Irritantes. Astringentes;Irritants. Astringents;Farmacología
QV 66;Agentes gastrointestinales (generales o no clasificados en otra parte);Gastrointestinal agents (General or not elsewhere classified);Farmacología
[QV 67];[Este número no se utiliza];[This number not used];Farmacología
QV 69;Antiácidos. Agentes antiulcerosos;Antacids. Anti-ulcer agents;Farmacología
QV 71;Antidiarreicos;Antidiarrheals;Farmacología
QV 73;Eméticos. Antieméticos;Emetics. Antiemetics;Farmacología
QV 75;Catárticos. Laxantes.;Cathartics. Laxatives;Farmacología
QV 76;Agentes antitusivos;Antitussive agents;Farmacología
QV 76.5;Neurofarmacología. Agentes del sistema nervioso (generales o no clasificados en otra parte);Neuropharmacology. Nervous system agents (General or not elsewhere classified);Farmacología
QV 77;Psicofarmacología;Psychopharmacology;Farmacología
QV 77.2;Medicamentos psicotrópicos (generales o no clasificados en otra parte);Psychotropic drugs (General or not elsewhere classified);Farmacología
QV 77.5;agentes antidepresivos;Antidepressive agents;Farmacología
QV 77.7;Alucinógenos;Hallucinogens;Farmacología
QV 77.9;Agentes tranquilizantes;Tranquilizing agents;Farmacología
QV 80;Depresores del sistema nervioso central;Central nervous system depressants;Farmacología
QV 81;Agentes de anestesia general;Agents of general anesthesia;Farmacología
QV 82;Alcoholes;Alcohols;Farmacología
QV 83;Metanol;Methanol;Farmacología
QV 84;Etanol;Ethanol;Farmacología
QV 85;Hipnóticos. Sedantes. Anticonvulsivos.;Hypnotics. Sedatives. Anticonvulsants;Farmacología
[QV 86];[Este número no se utiliza];[This number not used];Farmacología
QV 87;Bromuros;Bromides;Farmacología
QV 88;Barbitúricos;Barbiturates;Farmacología
QV 89;Analgésicos opioides. Narcóticos. Antagonistas narcóticos.;Opioid analgesics. Narcotics. Narcotic antagonists;Farmacología
QV 90;Alcaloides opiáceos;Opiate alkaloids;Farmacología
QV 92;Morfina. Derivados de la morfina;Morphine. Morphine derivatives;Farmacología
[QV 93];[Este número no se utiliza];[This number not used];Farmacología
QV 95;Antiinflamatorios no esteroideos. Analgésicos no narcóticos.;Non-steroidal anti-inflammatory agents. Non-narcotic analgesics;Farmacología
QV 98;Supresores de la gota;Gout suppressants;Farmacología
QV 100;estimulantes del sistema nervioso central;Central nervous system stimulants;Farmacología
QV 102;Anfetaminas;Amphetamines;Farmacología
QV 103;Convulsivos;Convulsants;Farmacología
QV 107;Xantinas;Xanthines;Farmacología
[QV 108];[Este número no se utiliza];[This number not used];Farmacología
[QV 109];[Este número no se utiliza];[This number not used];Farmacología
QV 110;Anestésicos locales (generales o no clasificados en otra parte);Local anesthetics (General or not elsewhere classified);Farmacología
QV 113;Cocaína. Derivados de la cocaína.;Cocaine. Cocaine derivatives;Farmacología
[QV 115];[Este número no se utiliza];[This number not used];Farmacología
QV 120;Agentes autónomos (generales o no clasificados en otra parte);Autonomic agents (General or not elsewhere classified);Farmacología
QV 122;Parasimpaticomiméticos;Parasympathomimetics;Farmacología
QV 124;Agentes colinérgicos;Cholinergic agents;Farmacología
QV 126;Neurotransmisores (generales o no clasificados en otra parte);Neurotransmitters (General or not elsewhere classified);Farmacología
